"","X","date","price","bathrooms","sqft_living","view","grade","yr_built","yr_renovated","sqft_living15","sqft_lot15","year_sold","month_sold"
"52",51,2015-02-17,345000,2.5,3150,0,8,1966,0,1990,9133,"2015","02"
"53",52,2014-12-31,6e+05,1.75,1410,0,7,1950,0,1410,4080,"2014","12"
"54",53,2015-02-05,585000,1.75,1980,0,7,1981,0,1480,6738,"2015","02"
"55",54,2015-03-03,920000,2.25,2730,0,8,1927,0,2730,6000,"2015","03"
"56",55,2014-05-12,885000,2.5,2830,0,9,1995,0,1950,5000,"2014","05"
"57",56,2014-08-19,292500,2.5,2250,0,7,2008,0,2250,4500,"2014","08"
"58",57,2015-04-07,301000,2.5,2420,0,8,2003,0,2690,4750,"2015","04"
"59",58,2014-08-27,951000,3.25,3250,4,8,1968,0,2960,11044,"2014","08"
"60",59,2015-02-23,430000,3,1850,0,8,1991,0,2270,8542,"2015","02"
"61",60,2014-12-10,650000,2.25,2150,3,8,1959,0,2570,18900,"2014","12"
"62",61,2014-08-28,289000,1.75,1260,0,7,1954,0,1290,8750,"2014","08"
"63",62,2014-10-21,505000,1.75,2519,0,8,1973,0,2500,9500,"2014","10"
"64",63,2014-12-07,549000,1.75,1540,0,8,2014,0,1580,3090,"2014","12"
"65",64,2014-06-03,425000,2.25,1660,0,7,1979,0,1440,4080,"2014","06"
"66",65,2014-11-20,317625,2.75,2770,0,7,1925,0,1440,4000,"2014","11"
"67",66,2014-09-09,975000,2.5,2720,0,10,1989,0,2750,11049,"2014","09"
"68",67,2014-10-09,287000,2.5,2240,0,7,2005,0,2221,4557,"2014","10"
"69",68,2014-08-25,204000,1,1000,0,7,1968,0,1010,12635,"2014","08"
"70",69,2014-06-12,1325000,2.25,3200,0,8,1965,0,3390,20158,"2014","06"
"71",70,2014-09-12,1040000,3.25,4770,0,11,1973,0,3530,38917,"2014","09"
"72",71,2015-01-05,325000,2,1260,0,7,1972,0,1640,4745,"2015","01"
"73",72,2014-06-10,571000,2,2750,0,7,1916,0,1510,7807,"2014","06"
"74",73,2014-07-10,360000,2.5,2380,0,8,2005,0,2420,5000,"2014","07"
"75",74,2015-03-16,349000,1.75,1790,0,7,1965,0,1940,50529,"2015","03"
"76",75,2014-11-05,832500,4,3430,0,10,1986,0,3240,35020,"2014","11"
"77",76,2014-10-13,380000,1.75,1760,0,7,1956,0,1680,7500,"2014","10"
"78",77,2015-04-20,480000,1,1040,0,7,1941,0,890,5060,"2015","04"
"79",78,2014-06-09,410000,1,1410,0,7,1956,0,1130,5693,"2014","06"
"80",79,2015-03-23,720000,2.5,3450,0,10,2002,0,3350,39750,"2015","03"
"81",80,2014-12-02,390000,2.5,2350,0,8,2003,0,2350,5363,"2014","12"
"82",81,2014-12-22,360000,2.5,1900,0,7,1992,0,1870,6405,"2014","12"
"83",82,2014-10-28,355000,1,2020,0,7,1948,0,1720,6720,"2014","10"
"84",83,2015-01-28,356000,1.5,1680,0,8,1964,0,1850,8797,"2015","01"
"85",84,2014-06-02,315000,1,960,0,6,1952,0,1570,7203,"2014","06"
"86",85,2014-11-14,940000,1.5,2140,0,9,1925,0,2020,4800,"2014","11"
"87",86,2014-11-03,305000,2.25,2660,0,7,1961,0,1590,8165,"2014","11"
"88",87,2014-06-18,461000,3.25,2770,0,9,2006,0,1900,7349,"2014","06"
"89",88,2014-05-19,215000,2.25,1610,0,7,1979,0,1950,2025,"2014","05"
"90",89,2014-09-04,335000,1.75,1030,0,7,2006,0,1030,1106,"2014","09"
"91",90,2014-05-22,243500,2.5,1980,0,7,1988,0,1980,7510,"2014","05"
"92",91,2015-03-11,1099880,2.75,3520,0,10,2001,0,2520,6250,"2015","03"
"93",92,2015-02-26,153000,1,1200,0,7,1962,0,1350,10500,"2015","02"
"94",93,2014-07-25,430000,1.5,1580,0,8,1939,0,1570,4500,"2014","07"
"95",94,2014-12-23,7e+05,1.5,1580,0,8,1939,0,1570,4500,"2014","12"
"96",95,2014-09-08,905000,2.5,3300,0,7,1946,1991,1950,6045,"2014","09"
"97",96,2015-03-30,247500,1.75,1960,0,7,1967,0,1750,15616,"2015","03"
"98",97,2014-09-12,199000,1.5,1160,0,7,1975,0,1160,6400,"2014","09"
"99",98,2014-07-11,314000,1.75,1810,0,7,1980,0,1650,135036,"2014","07"
"100",99,2014-05-16,437500,2.5,2320,2,9,1992,0,2550,35065,"2014","05"
"101",100,2014-06-11,850830,2.5,2070,0,9,1910,0,2200,4500,"2014","06"
"102",101,2014-10-27,555000,2,1980,0,7,1929,0,1610,3478,"2014","10"
"103",102,2014-12-12,699950,2.25,2190,0,8,1983,0,2570,47777,"2014","12"
"104",103,2014-10-07,1088000,2.5,2920,0,8,1950,2010,2370,8113,"2014","10"
"105",104,2014-09-24,290000,1,1210,0,7,1954,0,1640,14910,"2014","09"
"106",105,2015-04-02,375000,2.5,2340,0,8,1978,0,2250,8162,"2015","04"
"107",106,2014-05-23,460000,1,1670,0,7,1939,0,1240,4005,"2014","05"
"108",107,2014-07-23,188500,1.75,1240,0,8,1985,0,1270,4966,"2014","07"
"109",108,2015-03-05,680000,2.5,3140,0,10,1991,0,2990,35001,"2015","03"
"110",109,2014-08-27,470000,1.75,2030,0,7,1942,0,2500,9433,"2014","08"
"111",110,2014-07-25,597750,2.5,2310,0,8,1984,0,1940,9636,"2014","07"
"112",111,2015-03-04,570000,1.75,1260,0,6,1905,0,1380,3536,"2015","03"
"113",112,2014-09-16,272500,1.75,1540,0,7,1980,0,1540,11656,"2014","09"
"114",113,2014-11-24,329950,1.75,2080,2,7,1971,0,2090,5500,"2014","11"
"115",114,2014-10-28,480000,2.5,3230,3,9,2001,0,2640,8517,"2014","10"
"116",115,2014-11-21,740500,3.5,4380,0,8,1900,1999,1830,6350,"2014","11"
"117",116,2014-06-26,518500,3.5,1590,0,8,2010,0,1620,3166,"2014","06"
"118",117,2014-06-23,205425,1,880,0,6,1945,0,1190,6780,"2014","06"
"119",118,2015-01-08,171800,2,1570,0,6,1950,0,1880,9000,"2015","01"
"120",119,2015-05-11,535000,1,1610,0,7,1925,0,1610,4040,"2015","05"
"121",120,2015-01-02,660000,2.5,2400,2,8,1964,0,2340,10856,"2015","01"
"122",121,2014-11-19,391500,2,1450,0,7,1987,0,1580,9104,"2014","11"
"123",122,2015-04-06,395000,1,770,0,6,1953,0,1710,6000,"2015","04"
"124",123,2014-11-04,445000,1.75,2100,0,7,1924,0,1850,4400,"2014","11"
"125",124,2014-06-18,770000,2.25,2910,0,9,1990,0,2700,13992,"2014","06"
"126",125,2015-03-02,1450000,2.75,2750,0,8,1914,1992,3060,11275,"2015","03"
"127",126,2014-07-17,445000,2.25,2100,2,8,1967,0,2660,8712,"2014","07"
"128",127,2014-07-17,260000,2.25,2160,0,8,1978,0,2090,8400,"2014","07"
"129",128,2014-06-13,822500,3.5,2320,0,7,1926,0,1700,4960,"2014","06"
"130",129,2015-04-06,430000,2.5,2070,0,7,2004,0,1970,3748,"2015","04"
"131",130,2015-01-05,212000,1.75,1060,0,7,1986,0,1420,7680,"2015","01"
"132",131,2015-04-28,660500,2.25,2010,0,8,1986,0,2060,9793,"2015","04"
"133",132,2014-06-12,784000,3.5,3950,0,9,1989,0,2480,88500,"2014","06"
"134",133,2014-05-12,453246,2.5,2010,0,8,2014,0,1690,1662,"2014","05"
"135",134,2015-01-26,675000,3.5,2140,0,9,2005,0,1540,2285,"2015","01"
"136",135,2014-08-13,199000,1.75,1320,0,7,1956,0,1550,19265,"2014","08"
"137",136,2014-08-05,220000,1.75,2020,0,7,1968,0,1750,8140,"2014","08"
"138",137,2014-05-29,452000,2.25,2590,0,8,1968,0,1550,10436,"2014","05"
"139",138,2014-07-07,382500,1,1190,0,6,1981,0,1060,5715,"2014","07"
"140",139,2014-05-07,519950,2.25,1170,0,8,2014,0,1350,1310,"2014","05"
"141",140,2014-06-27,665000,1,1110,0,7,1925,0,1170,3600,"2014","06"
"142",141,2014-07-08,527700,2.5,2820,0,8,1968,0,2820,9375,"2014","07"
"143",142,2015-05-08,205000,1,1610,0,7,1962,0,1610,8579,"2015","05"
"144",143,2015-04-15,420000,1,1060,0,7,1923,0,1560,7940,"2015","04"
"145",144,2015-02-27,5e+05,2.25,2030,0,8,1961,0,2230,8824,"2015","02"
"146",145,2014-12-03,921500,2.5,3670,0,9,1994,0,2840,87991,"2014","12"
"147",146,2014-06-25,890000,1,2550,0,8,1905,0,2200,4000,"2014","06"
"148",147,2014-08-06,430000,2.5,2420,0,7,2007,0,1940,193842,"2014","08"
"149",148,2014-10-30,258000,2,2260,0,8,1960,0,1360,18000,"2014","10"
"150",149,2014-11-04,511000,1,1430,0,7,1947,0,1450,4599,"2014","11"
"151",150,2014-08-20,532170,2,1360,0,8,1990,0,1500,3090,"2014","08"
"152",151,2015-04-09,560000,1,1110,0,7,1947,0,1420,5000,"2015","04"
"153",152,2015-03-31,282950,1,1250,0,7,1954,0,1680,8633,"2015","03"
"154",153,2015-04-01,2250000,3.25,5180,3,12,2006,0,3160,9750,"2015","04"
"155",154,2014-05-16,350000,1,700,0,7,1942,0,1010,5100,"2014","05"
"156",155,2014-07-28,215000,1,1180,0,7,1967,0,1190,7669,"2014","07"
"157",156,2014-11-20,650000,3.5,3960,0,9,1996,0,2640,13675,"2014","11"
"158",157,2014-08-07,320000,2.75,2640,0,8,1967,0,1980,7875,"2014","08"
"159",158,2014-11-13,247000,2,1270,0,7,1916,2013,1160,7198,"2014","11"
"160",159,2014-10-03,320000,1.75,1760,0,8,1968,0,1730,11180,"2014","10"
"161",160,2014-05-07,255000,2.25,2060,0,7,1962,0,1010,11680,"2014","05"
"162",161,2015-03-09,438000,1.75,1780,0,7,1962,0,1200,9660,"2015","03"
"163",162,2015-03-04,9e+05,2.5,3400,0,10,2000,0,3400,12601,"2015","03"
"164",163,2014-06-20,441000,2.75,1910,0,7,1979,0,1710,8152,"2014","06"
"165",164,2014-08-12,420000,2,2020,0,7,1975,0,2110,36590,"2014","08"
"166",165,2014-12-08,370000,1.75,1580,0,7,1976,0,1640,7500,"2014","12"
"167",166,2015-02-19,269950,1.75,1340,0,5,1949,0,1830,9750,"2015","02"
"168",167,2015-03-24,807100,2.5,2680,0,9,1999,0,2920,4500,"2015","03"
"169",168,2014-06-05,653000,2.5,2680,0,8,1979,0,2480,8750,"2014","06"
"170",169,2014-06-11,371500,2,1370,0,7,1964,0,1770,7288,"2014","06"
"171",170,2015-03-16,284000,1.75,1560,0,7,1954,0,1070,7920,"2015","03"
"172",171,2015-01-02,272000,1.75,2160,0,7,1978,0,1930,7350,"2015","01"
"173",172,2014-05-02,313000,1.5,1340,0,7,1955,0,1480,7940,"2014","05"
"174",173,2015-01-16,917500,2.5,3880,0,10,1984,0,3740,35230,"2015","01"
"175",174,2014-09-29,673000,2.25,2590,0,8,1980,0,2260,8335,"2014","09"
"176",175,2015-02-10,425000,2.5,1120,0,8,2008,0,1590,1795,"2015","02"
"177",176,2014-07-09,399950,2.75,1970,0,7,1986,0,1280,2150,"2014","07"
"178",177,2014-05-30,385000,1,1220,0,6,1901,0,1200,4800,"2014","05"
"179",178,2014-11-17,269950,1.5,1950,2,7,1975,0,1950,8941,"2014","11"
"180",179,2015-01-07,330000,1,1350,0,7,1949,0,1540,8280,"2015","01"
"181",180,2014-07-25,260000,2.5,1670,0,7,1988,0,1670,6183,"2014","07"
"182",181,2015-04-14,470000,3,2380,0,7,1925,0,1410,5375,"2015","04"
"183",182,2014-06-13,589000,3,2440,0,7,1961,0,2290,9600,"2014","06"
"184",183,2014-07-23,163500,1.5,1050,0,7,1996,0,1050,3417,"2014","07"
"185",184,2014-09-05,835000,2.75,3130,0,9,1993,0,2260,9984,"2014","09"
"186",185,2014-11-21,1095000,3,4090,2,10,1986,0,2540,10270,"2014","11"
"187",186,2015-04-15,269000,1.75,1490,0,8,1969,0,2190,8910,"2015","04"
"188",187,2014-05-05,560000,2.5,1900,0,8,1987,0,2030,8744,"2014","05"
"189",188,2015-04-18,615000,1,1330,0,6,1901,0,1330,4400,"2015","04"
"190",189,2014-12-05,585188,2.25,2230,0,8,1975,0,2230,9340,"2014","12"
"191",190,2014-08-18,305000,1.75,1650,0,7,1977,0,1540,8400,"2014","08"
"192",191,2014-11-05,166950,1,1190,0,6,1959,0,1230,7980,"2014","11"
"193",192,2014-09-12,799000,2.5,2140,0,8,1959,0,2680,10083,"2014","09"
"194",193,2014-06-25,4e+05,2.5,2180,0,7,1962,0,1900,7818,"2014","06"
"195",194,2014-12-01,230000,1,1060,0,7,1948,0,1570,10228,"2014","12"
"196",195,2014-05-15,256883,2.5,1690,0,8,2003,0,2550,5001,"2014","05"
"197",196,2014-11-11,423000,2,1970,0,7,1920,0,1500,6480,"2014","11"
"198",197,2014-07-23,465000,2.5,2150,0,8,2007,0,1750,2385,"2014","07"
"199",198,2015-01-13,440000,2.5,1910,0,7,1997,0,2330,67268,"2015","01"
"200",199,2014-10-14,385000,1.75,1350,0,7,1969,0,1560,50965,"2014","10"
"201",200,2015-03-11,210000,1,860,0,6,1943,0,1300,9514,"2015","03"
"202",201,2014-11-12,297000,2.5,1940,0,8,1994,0,2030,10450,"2014","11"
"203",202,2014-07-16,470000,1,1010,0,7,1952,0,1680,5000,"2014","07"
"204",203,2014-08-04,226500,1.5,1300,0,7,1976,0,1430,7500,"2014","08"
"205",204,2015-03-03,274250,1,910,0,6,1962,0,1400,8040,"2015","03"
"206",205,2014-08-04,840000,1.75,2480,0,9,1966,0,2770,10744,"2014","08"
"207",206,2014-09-19,677900,2.5,2440,0,8,2010,0,2750,4587,"2014","09"
"208",207,2015-02-05,425000,1,1010,0,7,1915,0,1290,5000,"2015","02"
"209",208,2014-11-23,180250,0.75,900,0,6,1941,0,1250,14280,"2014","11"
"210",209,2014-07-17,464000,3,2300,0,7,1920,1994,1560,1312,"2014","07"
"211",210,2015-04-22,320000,2.25,1550,0,8,1993,0,1630,6397,"2015","04"
"212",211,2014-07-17,625504,2.25,1270,0,8,2014,0,1160,1327,"2014","07"
"213",212,2014-05-15,592500,2.5,2240,0,9,1983,0,2520,12368,"2014","05"
"214",213,2015-01-14,465000,2.5,2714,0,9,2005,0,2590,18386,"2015","01"
"215",214,2014-05-27,477000,2.75,1720,0,8,1978,0,2130,8700,"2014","05"
"216",215,2015-01-15,280000,1,850,0,6,1923,0,1100,14459,"2015","01"
"217",216,2015-02-21,1505000,3,3300,3,9,1957,1991,3836,20953,"2015","02"
"218",217,2014-07-03,445838,2.5,2250,0,8,2000,0,1320,5390,"2014","07"
"219",218,2014-08-28,1072000,2.25,3900,3,8,1947,0,2580,5184,"2014","08"
"220",219,2014-10-23,467000,1.5,1320,0,8,1947,0,2120,12040,"2014","10"
"221",220,2014-08-22,686000,2.5,2760,0,10,1999,0,3070,8127,"2014","08"
"222",221,2014-06-05,279950,2,1750,0,7,1961,0,1900,10125,"2014","06"
"223",222,2014-09-04,527000,2.25,2330,0,8,1987,0,1910,10055,"2014","09"
"224",223,2014-09-18,325000,2.25,2220,0,8,1966,0,2080,9583,"2014","09"
"225",224,2014-09-03,328000,2.25,2020,0,7,1994,0,2020,8031,"2014","09"
"226",225,2014-06-04,390000,2.25,1250,0,7,1942,0,1280,7392,"2014","06"
"227",226,2015-03-09,479950,2,1510,0,8,2005,0,1640,6009,"2015","03"
"228",227,2014-05-29,264950,2.25,1720,0,7,1978,0,1510,9753,"2014","05"
"229",228,2015-01-15,235000,1,1430,0,7,1961,0,1960,13068,"2015","01"
"230",229,2015-03-03,516500,2.5,1480,0,7,2004,0,2250,4729,"2015","03"
"231",230,2015-04-13,655000,1.75,1450,4,7,1915,1978,2030,13193,"2015","04"
"232",231,2014-06-16,5e+05,2.75,2280,0,7,1960,0,2280,15347,"2014","06"
"233",232,2014-11-21,315000,2.75,2940,0,8,1978,0,2120,8236,"2014","11"
"234",233,2014-11-20,213000,1,1000,0,6,1961,0,1150,13702,"2014","11"
"235",234,2014-09-02,475000,1.5,2480,0,7,1947,0,2090,4800,"2014","09"
"236",235,2014-06-10,1025000,4,3760,0,10,1983,0,3430,35096,"2014","06"
"237",236,2015-04-09,416000,2,2220,0,7,1976,0,2070,80100,"2015","04"
"238",237,2015-03-20,410000,1,1970,0,7,1904,2005,1510,4740,"2015","03"
"239",238,2014-07-01,8e+05,3.5,3830,0,10,1993,0,2920,148539,"2014","07"
"240",239,2014-05-29,472000,2.5,4410,2,9,1965,0,2600,13988,"2014","05"
"241",240,2014-12-08,225000,1.75,1430,0,7,1968,0,1190,8640,"2014","12"
"242",241,2014-10-01,210000,1,830,0,6,1940,0,830,4960,"2014","10"
"243",242,2015-01-27,455000,1,1430,0,7,1925,0,1450,3750,"2015","01"
"244",243,2015-04-27,225000,1,1300,0,6,1954,0,1260,8316,"2015","04"
"245",244,2014-08-26,480000,1,1030,2,7,1918,0,1390,3060,"2014","08"
"246",245,2015-02-12,363000,2.5,2740,0,9,1990,0,2570,10377,"2015","02"
"247",246,2014-09-29,2400000,2.5,3650,4,9,2000,0,3120,18841,"2014","09"
"248",247,2015-02-26,181000,1.5,720,0,6,1954,0,1150,2566,"2015","02"
"249",248,2015-03-14,250000,2,2010,0,7,1976,0,2010,7650,"2015","03"
"250",249,2015-04-22,481000,1.75,1560,0,6,1918,0,1390,3000,"2015","04"
"251",250,2014-09-23,260000,2,1810,0,7,1978,0,1750,7209,"2014","09"
"252",251,2014-05-13,455000,2.5,3360,0,9,2001,0,3060,6567,"2014","05"
"253",252,2015-04-01,415000,2.25,1510,0,8,1991,0,1730,36224,"2015","04"
"254",253,2015-04-21,349500,1,1400,0,7,1953,0,1620,6331,"2015","04"
"255",254,2014-09-29,245000,2.5,1730,0,7,1987,0,1630,6458,"2014","09"
"256",255,2014-05-19,592500,2,1420,2,7,1928,0,1420,6816,"2014","05"
"257",256,2014-10-20,385000,1.75,2360,0,7,1955,0,1910,7620,"2014","10"
"258",257,2015-02-11,315000,1.75,1580,0,7,1974,0,1550,10650,"2015","02"
"259",258,2014-11-24,255000,1,1230,0,7,1979,0,1380,10098,"2014","11"
"260",259,2014-08-29,693000,2.5,2460,0,8,2006,0,2990,5659,"2014","08"
"261",260,2014-12-02,780000,1,1660,0,8,1911,0,1660,4400,"2014","12"
"262",261,2014-10-24,237000,1.75,1270,0,7,1960,0,1600,8470,"2014","10"
"263",262,2014-12-16,525000,2.25,2100,0,10,1979,0,2380,33450,"2014","12"
"264",263,2015-04-28,425000,1,770,0,5,1930,0,1330,2580,"2015","04"
"265",264,2014-10-27,369900,0.75,760,4,5,1936,0,1230,14267,"2014","10"
"266",265,2014-05-19,290000,2.5,1700,0,7,1988,0,1950,7475,"2014","05"
"267",266,2014-09-29,285000,1,1120,0,7,1954,0,1130,6350,"2014","09"
"268",267,2014-08-14,415000,1,1070,0,7,1937,0,1320,4465,"2014","08"
"269",268,2015-04-09,272500,2.5,2070,0,8,1979,0,2070,8250,"2015","04"
"270",269,2015-05-04,2900000,3.25,5050,2,11,1982,2008,3890,20060,"2015","05"
"271",270,2014-10-07,1365000,4.75,5310,0,11,1989,0,4180,47443,"2014","10"
"272",271,2015-05-01,436000,1,1040,0,7,1939,0,1440,7530,"2015","05"
"273",272,2014-10-17,210000,1,1700,0,7,1967,0,1350,8164,"2014","10"
"274",273,2014-09-25,236000,1,1300,0,7,1961,0,1320,7619,"2014","09"
"275",274,2014-11-24,331000,1.75,1080,0,7,1954,2003,1440,2225,"2014","11"
"276",275,2015-03-20,365000,2.5,2653,0,8,2006,0,2653,4927,"2015","03"
"277",276,2015-01-27,450000,2,2290,0,8,1960,0,1660,10530,"2015","01"
"278",277,2014-11-13,770000,2.75,3820,0,9,2014,0,1860,12136,"2014","11"
"279",278,2015-05-05,455000,2.5,2210,0,8,1997,0,2670,49385,"2015","05"
"280",279,2015-05-05,405000,1.75,2390,0,6,1908,0,2020,6000,"2015","05"
"281",280,2014-07-03,304900,1.75,2600,0,7,1969,0,1720,11088,"2014","07"
"282",281,2015-02-27,170000,1,860,0,6,1931,0,1650,8775,"2015","02"
"283",282,2015-05-13,2050000,3,3830,1,9,1905,1994,3050,7556,"2015","05"
"284",283,2014-06-30,780000,2.5,3500,0,9,2005,0,3920,7864,"2014","06"
"285",284,2015-04-10,330000,3,2420,0,8,1988,0,2570,13300,"2015","04"
"286",285,2014-09-05,370000,2.5,2720,0,9,1992,0,2410,8100,"2014","09"
"287",286,2014-10-17,467000,2.25,2500,0,7,1979,0,2300,9750,"2014","10"
"288",287,2015-02-09,405000,1.75,1670,0,7,1980,0,1670,7320,"2015","02"
"289",288,2014-07-02,675000,2.25,2900,0,8,1985,0,2310,10300,"2014","07"
"290",289,2014-08-12,5e+05,1,1640,0,7,1954,0,1520,13527,"2014","08"
"291",290,2014-07-23,389999,2.5,1890,0,7,1968,0,2410,15256,"2014","07"
"292",291,2015-02-24,630000,1.75,2950,2,8,1975,0,2120,9600,"2015","02"
"293",292,2014-10-22,360000,2.5,2160,0,9,1992,0,2280,9937,"2014","10"
"294",293,2014-10-02,580000,3,3280,0,8,1986,0,2320,11004,"2014","10"
"295",294,2014-07-09,550000,2,1970,3,8,1929,0,2390,4166,"2014","07"
"296",295,2014-07-10,879000,2.5,3360,0,10,1994,0,3150,11374,"2014","07"
"297",296,2014-08-22,265000,2,1320,0,7,1993,0,1740,7316,"2014","08"
"298",297,2015-03-04,446500,2.5,2650,0,8,1990,0,2400,7220,"2015","03"
"299",298,2014-06-02,404000,1.5,2030,0,7,1963,0,2140,5592,"2014","06"
"300",299,2014-05-29,267500,1.75,1590,2,7,1957,0,1630,9052,"2014","05"
"301",300,2014-06-24,3075000,5,4550,4,10,2002,0,4550,19508,"2014","06"
"302",301,2014-08-11,335000,2.5,2440,0,8,1998,0,2510,7903,"2014","08"
"303",302,2014-06-19,576000,2.5,1940,0,7,1948,0,2190,7310,"2014","06"
"304",303,2015-04-01,208633,2.5,2040,0,8,2006,0,2370,4590,"2015","04"
"305",304,2015-01-15,315000,2.25,2200,0,7,1964,0,1460,10139,"2015","01"
"306",305,2015-02-17,725000,1.75,1920,0,8,1913,0,1740,4000,"2015","02"
"307",306,2015-04-03,550000,2.75,1800,0,8,1965,0,1800,8275,"2015","04"
"308",307,2014-06-12,610750,2.25,2180,0,8,1984,0,2250,9781,"2014","06"
"309",308,2015-02-28,550700,1,1010,0,6,1908,0,1460,5000,"2015","02"
"310",309,2015-01-08,665000,2.75,3320,0,8,1960,0,2720,8330,"2015","01"
"311",310,2015-02-09,834000,2.5,2370,2,8,1928,0,2440,5750,"2015","02"
"312",311,2014-10-23,201000,1.75,1660,0,6,1915,0,1660,78408,"2014","10"
"313",312,2014-05-02,2384000,2.5,3650,4,10,1921,0,2880,5400,"2014","05"
"314",313,2014-06-18,1384000,3.25,4290,3,11,1997,0,3860,11244,"2014","06"
"315",314,2014-12-09,1400000,3.25,4290,3,11,1997,0,3860,11244,"2014","12"
"316",315,2014-11-05,305000,2.25,1950,0,8,1979,0,2150,7350,"2014","11"
"317",316,2015-04-08,487000,2,2590,0,8,1948,0,1570,8162,"2015","04"
"318",317,2015-05-11,390000,2.5,1930,0,8,1988,0,2350,57500,"2015","05"
"319",318,2014-07-23,548000,1,1470,0,7,1916,0,1570,3864,"2014","07"
